Window: seq SEED: seq SCORE: 
Window: seq SEED: seq SCORE: 
Window: seq SEED: seq SCORE: 
Window: seq SEED: seq SCORE: 
Window: seq SEED: seq SCORE: 
Window: seq SEED: seq SCORE: 
Window: 1 SEED: 1 SCORE: 14
Window: 1 SEED: 2 SCORE: 14
Window: 1 SEED: 3 SCORE: 14
Window: 1 SEED: 4 SCORE: 14
Window: 1 SEED: 5 SCORE: 14
Window: 2 SEED: 1 SCORE: 14
Window: 2 SEED: 2 SCORE: 14
Window: 2 SEED: 3 SCORE: 14
Window: 2 SEED: 4 SCORE: 14
Window: 2 SEED: 5 SCORE: 14
Window: 3 SEED: 1 SCORE: 14
Window: 3 SEED: 2 SCORE: 14
Window: 3 SEED: 3 SCORE: 14
Window: 3 SEED: 4 SCORE: 14
Window: 3 SEED: 5 SCORE: 14
Window: 4 SEED: 1 SCORE: 14
Window: 4 SEED: 2 SCORE: 14
Window: 4 SEED: 3 SCORE: 14
Window: 4 SEED: 4 SCORE: 14
Window: 4 SEED: 5 SCORE: 14
Window: 5 SEED: 1 SCORE: 14
Window: 5 SEED: 2 SCORE: 14
Window: 5 SEED: 3 SCORE: 14
Window: 5 SEED: 4 SCORE: 14
Window: 5 SEED: 5 SCORE: 14
Window: 6 SEED: 1 SCORE: 14
Window: 6 SEED: 2 SCORE: 14
Window: 6 SEED: 3 SCORE: 14
Window: 6 SEED: 4 SCORE: 14
Window: 6 SEED: 5 SCORE: 14
Window: 7 SEED: 1 SCORE: 14
Window: 7 SEED: 2 SCORE: 14
Window: 7 SEED: 3 SCORE: 14
Window: 7 SEED: 4 SCORE: 14
Window: 7 SEED: 5 SCORE: 14
Window: 8 SEED: 1 SCORE: 14
Window: 8 SEED: 2 SCORE: 14
Window: 1 SEED: 1 SCORE: 14
Window: 1 SEED: 2 SCORE: 14
Window: 1 SEED: 3 SCORE: 14
Window: 1 SEED: 4 SCORE: 14
Window: 1 SEED: 5 SCORE: 13
Window: 2 SEED: 1 SCORE: 14
Window: 2 SEED: 2 SCORE: 14
Window: 2 SEED: 3 SCORE: 14
Window: 2 SEED: 4 SCORE: 14
Window: 2 SEED: 5 SCORE: 14
Window: 3 SEED: 1 SCORE: 14
Window: 3 SEED: 2 SCORE: 14
Window: 3 SEED: 3 SCORE: 14
Window: 3 SEED: 4 SCORE: 14
Window: 3 SEED: 5 SCORE: 14
Window: 4 SEED: 1 SCORE: 14
Window: 4 SEED: 2 SCORE: 14
Window: 4 SEED: 3 SCORE: 14
Window: 4 SEED: 4 SCORE: 14
Window: 4 SEED: 5 SCORE: 14
Window: 5 SEED: 1 SCORE: 14
Window: 5 SEED: 2 SCORE: 14
Window: 5 SEED: 3 SCORE: 14
Window: 5 SEED: 4 SCORE: 14
Window: 5 SEED: 5 SCORE: 14
Window: 6 SEED: 1 SCORE: 14
Window: 6 SEED: 2 SCORE: 14
Window: 6 SEED: 3 SCORE: 14
Window: 6 SEED: 4 SCORE: 14
Window: 6 SEED: 5 SCORE: 14
Window: 7 SEED: 1 SCORE: 14
Window: 7 SEED: 2 SCORE: 14
Window: 7 SEED: 3 SCORE: 14
Window: 7 SEED: 4 SCORE: 14
Window: 7 SEED: 5 SCORE: 14
Window: 8 SEED: 1 SCORE: 14
Window: 8 SEED: 2 SCORE: 14
Window: 8 SEED: 3 SCORE: 14
Window: 8 SEED: 4 SCORE: 14
Window: 8 SEED: 5 SCORE: 14
Window: 9 SEED: 1 SCORE: 14
Window: 9 SEED: 2 SCORE: 14
Window: 9 SEED: 3 SCORE: 13
Window: 9 SEED: 4 SCORE: 14
Window: 9 SEED: 5 SCORE: 14
Window: 10 SEED: 1 SCORE: 14
Window: 10 SEED: 2 SCORE: 14
Window: 10 SEED: 3 SCORE: 14
Window: 10 SEED: 4 SCORE: 14
Window: 10 SEED: 5 SCORE: 14
Window: 11 SEED: 1 SCORE: 14
Window: 11 SEED: 2 SCORE: 14
Window: 11 SEED: 3 SCORE: 14
Window: 11 SEED: 4 SCORE: 14
Window: 11 SEED: 5 SCORE: 14
Window: 12 SEED: 1 SCORE: 14
Window: 12 SEED: 2 SCORE: 14
Window: 12 SEED: 3 SCORE: 14
Window: 12 SEED: 4 SCORE: 14
Window: 12 SEED: 5 SCORE: 14
Window: 13 SEED: 1 SCORE: 14
Window: 13 SEED: 2 SCORE: 14
Window: 13 SEED: 3 SCORE: 14
Window: 13 SEED: 4 SCORE: 14
Window: 13 SEED: 5 SCORE: 14
Window: 14 SEED: 1 SCORE: 14
Window: 14 SEED: 2 SCORE: 14
Window: 14 SEED: 3 SCORE: 14
Window: 14 SEED: 4 SCORE: 14
Window: 14 SEED: 5 SCORE: 14
Window: 15 SEED: 1 SCORE: 14
Window: 15 SEED: 2 SCORE: 14
Window: 15 SEED: 3 SCORE: 14
Window: 15 SEED: 4 SCORE: 14
Window: 15 SEED: 5 SCORE: 14
Window: 16 SEED: 1 SCORE: 14
Window: 16 SEED: 2 SCORE: 14
Window: 16 SEED: 3 SCORE: 14
Window: 16 SEED: 4 SCORE: 14
Window: 16 SEED: 5 SCORE: 14
Window: 17 SEED: 1 SCORE: 14
Window: 17 SEED: 2 SCORE: 14
Window: 17 SEED: 3 SCORE: 14
Window: 17 SEED: 4 SCORE: 14
Window: 17 SEED: 5 SCORE: 14
Window: 18 SEED: 1 SCORE: 14
Window: 18 SEED: 2 SCORE: 14
Window: 18 SEED: 3 SCORE: 14
Window: 18 SEED: 4 SCORE: 14
Window: 18 SEED: 5 SCORE: 14
Window: 19 SEED: 1 SCORE: 14
Window: 19 SEED: 2 SCORE: 14
Window: 19 SEED: 3 SCORE: 13
Window: 19 SEED: 4 SCORE: 14
Window: 19 SEED: 5 SCORE: 14
Window: 20 SEED: 1 SCORE: 14
Window: 20 SEED: 2 SCORE: 14
Window: 20 SEED: 3 SCORE: 14
Window: 20 SEED: 4 SCORE: 14
Window: 20 SEED: 5 SCORE: 14
Window: 21 SEED: 1 SCORE: 14
Window: 21 SEED: 2 SCORE: 14
Window: 21 SEED: 3 SCORE: 14
Window: 21 SEED: 4 SCORE: 14
Window: 21 SEED: 5 SCORE: 14
Window: 22 SEED: 1 SCORE: 14
Window: 22 SEED: 2 SCORE: 14
Window: 22 SEED: 3 SCORE: 14
Window: 22 SEED: 4 SCORE: 14
Window: 22 SEED: 5 SCORE: 14
Window: 23 SEED: 1 SCORE: 14
Window: 23 SEED: 2 SCORE: 14
Window: 23 SEED: 3 SCORE: 14
Window: 23 SEED: 4 SCORE: 14
Window: 23 SEED: 5 SCORE: 14
Window: 24 SEED: 1 SCORE: 14
Window: 24 SEED: 2 SCORE: 14
Window: 24 SEED: 3 SCORE: 14
Window: 24 SEED: 4 SCORE: 14
Window: 24 SEED: 5 SCORE: 14
Window: 25 SEED: 1 SCORE: 14
Window: 25 SEED: 2 SCORE: 14
Window: 25 SEED: 3 SCORE: 13
Window: 25 SEED: 4 SCORE: 14
Window: 25 SEED: 5 SCORE: 14
